price,carat,icol,icut,iclar,ishape,irep,ityp
1420,0.41,5,4,3,0,0,0
1370,0.5,4,3,0,0,0,0
3800,1.8,1,3,1,6,2,1
13130,3.01,4,4,2,1,2,1
1490,0.45,2,4,5,0,0,0
3300,1.7,1,3,0,6,2,1
3310,0.62,6,4,4,0,0,0
19150,2.01,3,4,6,1,0,0
780,0.31,6,3,3,2,0,0
3170,0.7,3,4,4,0,0,0
2210,1.5,0,3,2,0,2,1
8050,3.14,0,3,3,3,2,1
1310,0.4,6,3,2,0,0,0
2010,0.53,2,4,4,0,0,0
880,0.3,4,3,5,0,0,0
620,0.3,1,3,3,0,0,0
2710,1.2,6,2,2,0,2,1
440,0.3,0,2,1,0,0,0
2820,0.75,4,4,0,0,0,0
4200,1.43,3,4,5,0,2,1
6420,0.9,5,3,4,0,0,0
890,0.32,5,3,6,4,0,0
1080,0.4,5,2,3,0,0,0
330,0.3,4,4,2,0,2,1
520,0.5,5,2,1,6,3,1
690,0.3,3,2,4,0,0,0
47250,3.0,5,4,6,4,0,0
5450,1.0,3,3,1,0,0,0
1580,0.5,4,3,3,6,0,0
1330,0.31,5,4,5,0,0,0
1680,0.51,5,4,5,1,0,0
350,0.3,6,4,2,0,2,1
2210,0.7,3,2,2,4,0,0
4050,1.67,3,4,2,0,3,1
770,0.3,5,2,3,5,0,0
1570,1.0,0,3,5,0,1,1
2660,0.51,6,4,3,0,0,0
1260,0.91,1,3,1,6,2,1
1800,1.28,0,4,3,0,2,1
620,0.58,0,3,4,0,2,1
5160,2.02,1,3,3,0,2,1
1200,0.3,6,4,5,0,0,0
1850,1.01,5,4,1,6,2,1
3000,0.9,4,2,0,4,0,0
1280,0.76,5,2,3,1,3,1
590,0.53,4,2,2,6,3,1
1050,0.3,4,4,5,0,0,0
2430,1.0,6,3,3,9,2,1
310,0.33,1,4,3,6,2,1
3110,0.62,5,4,4,0,0,0
1130,0.5,5,2,3,1,0,0
12000,1.1,6,4,4,0,0,0
780,0.3,5,4,4,0,0,0
3330,0.7,3,4,2,0,0,0
1250,0.5,4,1,0,0,0,0
2840,1.28,2,4,5,0,2,1
2660,0.52,6,4,4,0,0,0
1640,1.15,0,3,4,0,2,1
3880,2.06,0,3,1,0,2,1
920,0.46,1,2,3,0,0,0
800,0.5,2,3,0,3,0,0
600,0.3,3,3,1,3,0,0
1820,1.01,1,4,1,0,2,1
650,0.54,6,1,1,7,2,1
1200,0.9,1,3,2,0,2,1
5030,1.2,2,3,2,7,0,0
810,0.36,6,4,0,0,0,0
2410,1.04,1,3,4,0,2,1
4260,0.75,6,4,3,0,0,0
4520,2.02,1,4,0,6,2,1
1610,1.14,1,3,1,0,2,1
6410,1.0,5,2,2,6,0,0
930,0.37,2,4,2,0,0,0
1200,0.4,4,4,2,0,0,0
1300,0.5,0,4,0,0,0,0
3060,0.5,6,4,5,0,0,0
2300,0.5,5,4,4,0,0,0
3740,0.7,6,4,2,0,0,0
1180,0.4,2,3,5,0,0,0
4470,1.0,0,4,4,0,0,0
590,0.31,6,2,2,4,0,0
2380,0.7,1,2,5,0,0,0
1550,0.41,4,4,6,0,0,0
1970,0.5,6,4,2,0,0,0
990,0.31,5,4,5,0,0,0
2200,1.0,4,3,3,0,2,1
2240,1.06,2,3,4,0,2,1
1080,0.37,6,4,2,0,0,0
340,0.3,6,3,1,0,2,1
2750,0.85,5,1,0,0,0,0
820,0.33,6,4,4,0,0,0
1190,0.43,2,4,1,0,0,0
6980,1.0,6,4,1,0,0,0
2030,0.52,2,4,1,0,0,0
3010,1.21,4,3,3,0,2,1
7450,2.83,1,2,2,7,3,1
720,0.3,3,4,1,0,0,0
890,0.34,2,4,6,0,0,0
720,0.5,6,2,2,0,3,1
1050,0.51,0,3,2,6,0,0
1780,1.04,2,2,0,4,2,1
3700,1.32,4,3,4,0,2,1
770,0.66,4,3,2,0,3,1
10990,1.7,6,4,1,7,0,0
920,0.4,5,3,1,6,0,0
570,0.55,5,2,1,6,2,1
4130,2.05,0,3,2,6,2,1
360,0.32,4,3,3,0,2,1
770,0.4,4,2,0,0,0,0
1000,0.3,4,4,3,0,0,0
2390,0.5,5,4,3,0,0,0
1900,1.07,1,4,2,0,2,1
24640,4.1,3,4,4,1,2,1
1210,0.33,6,4,4,0,0,0
1980,1.03,6,4,1,1,2,1
3940,1.61,2,3,4,0,2,1
5460,1.0,1,4,4,0,0,0
1120,0.33,6,3,6,4,0,0
610,0.25,3,4,3,0,0,0
6350,1.0,4,4,6,7,0,0
3460,1.7,1,4,1,6,2,1
630,0.26,4,4,3,0,0,0
3330,1.02,3,1,0,0,2,0
740,0.3,4,3,4,6,0,0
2940,1.03,5,3,4,0,2,1
1960,1.01,4,3,2,0,2,1
5370,1.61,5,4,3,0,2,1
2210,1.0,6,4,2,0,2,1
21130,3.01,4,3,0,6,2,0
910,0.3,6,4,5,0,0,0
1500,0.5,6,4,0,0,0,0
1090,0.4,1,4,3,0,0,0
2370,0.7,4,3,3,4,0,0
400,0.36,4,4,2,0,3,1
1360,0.5,6,3,3,1,0,0
3130,1.12,6,3,3,0,2,1
6830,1.2,5,3,3,1,0,0
470,0.5,2,3,0,1,2,1
450,0.38,6,4,3,0,2,1
10270,3.0,0,3,1,7,2,1
740,0.41,0,4,3,0,0,0
3200,1.54,1,4,2,3,2,1
10880,1.8,6,4,0,0,0,0
2690,0.61,3,4,3,0,0,0
1510,0.43,5,4,5,0,0,0
530,0.3,1,4,4,0,0,0
2040,0.51,6,4,3,0,0,0
880,0.32,5,4,2,0,0,0
1960,0.5,3,2,2,0,0,0
2260,0.5,3,4,2,0,0,0
1220,0.63,5,3,1,1,0,0
2280,0.8,2,2,1,4,0,0
950,0.79,1,4,4,0,2,1
16610,1.81,6,4,1,0,0,0
960,0.5,3,3,1,1,0,0
1680,1.23,0,3,3,0,2,1
1040,0.4,6,1,1,0,0,0
1230,0.4,4,4,3,0,0,0
660,0.27,3,4,4,0,0,0
1550,0.6,2,4,4,1,0,0
6320,1.0,5,2,3,6,0,0
6800,1.2,2,3,2,6,0,0
580,0.55,2,3,3,4,2,1
1580,0.9,5,3,1,0,2,1
1390,1.05,0,4,2,0,2,1
2710,0.6,4,4,3,0,0,0
1800,1.0,1,4,1,0,2,1
6370,0.9,6,4,4,0,0,0
3020,1.15,4,3,4,0,2,1
2410,1.13,4,2,2,4,2,1
1940,0.5,6,2,3,0,0,0
670,0.3,4,4,1,0,0,0
26790,2.32,6,4,4,7,0,0
1760,1.15,1,4,0,0,2,1
1970,1.0,4,2,2,3,3,1
2090,1.15,1,4,3,0,2,1
2530,1.05,5,4,3,0,2,1
740,0.3,5,4,1,0,0,0
340,0.3,6,4,1,0,2,1
9080,1.4,3,4,1,0,0,0
31340,3.01,4,4,0,6,0,0
2140,0.72,1,2,3,1,0,0
4690,1.88,3,3,2,9,2,1
590,0.3,1,4,1,0,0,0
370,0.31,6,4,3,0,2,1
2860,0.61,6,4,3,0,0,0
2680,0.7,2,1,5,0,0,0
1990,0.6,4,3,1,0,0,0
1400,0.64,2,2,0,0,0,0
1850,1.17,1,4,3,0,2,1
16650,2.01,1,4,2,0,0,0
1030,0.4,3,2,3,0,0,0
1910,1.19,0,3,3,0,2,1
840,0.32,6,3,2,0,0,0
1310,0.33,5,4,6,0,0,0
