year,01,02,03,04,05,06,07,08,09,10,11,12
1882,25.8,31.0,45.6,44.6,59.1,110.4,144.5,102.6,94.4,64.3,121.5,83.0
1883,42.2,26.1,32.8,20.6,51.5,56.5,116.9,54.0,70.4,67.7,69.3,79.3
1884,68.4,32.2,29.1,35.0,57.4,80.6,96.8,61.1,41.8,89.6,44.7,95.5
1885,24.2,47.5,51.2,34.9,82.4,64.2,67.3,68.1,81.7,91.1,51.8,54.1
1886,54.8,20.0,49.9,44.4,60.0,112.3,73.5,61.1,40.6,50.5,53.7,101.9
1887,5.8,12.3,56.9,30.3,105.5,32.0,75.4,58.6,50.9,50.8,49.2,74.0
1888,39.6,49.0,102.9,57.7,26.5,91.2,123.9,80.5,46.5,77.4,51.8,19.2
1889,18.2,77.0,50.6,45.1,82.1,78.0,95.6,77.3,66.9,88.6,33.7,38.2
1890,83.5,5.9,34.6,51.9,70.3,85.9,98.1,120.6,26.4,77.3,83.6,6.3
1891,50.1,12.2,64.4,54.4,58.3,105.2,121.0,81.5,45.2,36.8,43.4,87.8
1892,66.4,51.4,33.6,32.5,47.8,87.7,57.7,51.4,75.3,71.9,19.8,51.8
1893,44.8,88.1,36.9,3.7,44.7,46.7,95.5,45.9,73.2,90.4,72.4,33.5
1894,29.0,61.6,43.3,44.8,55.9,90.3,98.9,102.1,80.0,100.8,29.2,59.4
1895,65.3,24.4,58.2,46.1,76.8,75.8,82.5,75.8,20.3,79.8,67.7,92.6
1896,38.9,13.9,90.8,68.8,40.0,98.1,97.9,109.1,98.5,60.0,26.1,37.1
1897,35.3,62.8,72.5,59.6,83.3,59.0,99.2,94.0,98.3,29.0,28.2,42.0
1898,35.7,79.7,68.4,60.5,103.9,80.3,99.1,49.8,28.6,59.7,30.1,52.9
1899,83.6,27.5,25.0,85.9,93.0,48.8,95.9,37.3,120.6,31.7,35.4,48.5
1900,97.6,56.6,39.7,47.8,53.8,92.2,87.4,71.8,33.1,80.0,39.8,69.6
1901,45.1,35.1,55.8,72.4,38.6,65.7,82.2,78.6,72.2,76.4,67.5,66.9
1902,61.3,29.5,72.5,33.9,91.2,69.3,77.4,91.7,54.9,57.4,10.7,76.9
1903,45.8,38.1,36.4,76.3,53.2,50.9,100.6,104.8,63.4,89.0,78.9,17.4
1904,38.4,75.3,38.1,51.6,68.5,57.8,29.0,46.2,60.8,54.0,67.1,52.0
1905,52.7,41.0,73.6,58.5,40.8,76.5,98.4,94.3,71.7,106.5,58.9,38.4
1906,72.9,45.8,78.5,33.6,89.5,76.4,96.2,74.9,64.9,31.9,56.0,66.3
1907,60.5,42.9,56.1,37.0,58.8,75.6,110.5,66.8,40.7,34.0,32.1,73.7
1908,38.8,67.8,37.0,70.2,96.4,55.1,88.1,99.6,53.2,4.2,37.7,20.6
1909,36.5,63.0,37.9,55.9,37.1,80.1,119.4,60.1,81.9,49.9,68.5,83.1
1910,69.8,62.6,23.9,50.6,61.7,109.0,119.2,100.1,67.8,18.2,99.9,54.3
1911,27.9,58.6,42.7,33.9,51.1,62.4,32.2,29.3,39.6,55.4,49.6,74.0
1912,57.7,47.6,62.4,36.0,75.1,96.1,74.6,126.0,70.5,60.1,72.4,62.9
