year,01,02,03,04,05,06,07,08,09,10,11,12
1952,33.0,52.0,124.3,195.7,212.0,224.7,261.4,207.5,117.4,79.6,37.9,31.2
1953,23.2,59.4,195.2,222.8,231.5,189.3,219.9,239.3,186.1,109.5,66.0,41.7
1954,74.5,85.5,119.4,177.1,239.5,215.1,140.9,169.3,144.7,98.1,67.2,29.1
1955,57.9,72.7,144.3,173.9,218.9,195.0,200.6,196.1,158.9,110.0,65.0,40.4
1956,58.3,87.5,147.1,125.3,232.3,125.5,210.4,176.9,176.1,97.1,54.1,37.9
1957,58.3,57.4,142.7,202.1,228.5,268.9,192.7,175.3,116.1,110.8,45.1,40.9
1958,58.0,69.2,115.1,146.1,191.0,187.4,219.8,206.5,181.0,91.5,22.1,38.5
1959,62.5,104.5,137.0,186.1,250.0,260.5,262.7,208.2,263.9,170.9,51.3,26.4
1960,41.5,70.7,114.3,172.2,213.4,233.9,182.1,152.0,152.4,68.8,54.7,26.4
1961,58.9,74.5,136.1,140.0,144.5,233.3,165.3,185.5,182.3,129.5,52.3,60.0
1962,47.0,65.0,119.2,156.4,147.0,243.5,178.3,198.9,167.7,127.6,47.8,59.7
1963,67.5,78.0,113.3,144.2,189.2,213.7,256.2,165.3,146.4,117.8,53.7,63.3
1964,57.5,87.9,94.6,148.8,234.0,265.5,253.4,180.6,186.0,96.8,35.2,35.3
1965,28.4,63.8,120.7,118.1,170.7,204.1,155.9,208.1,151.9,159.7,49.6,22.4
1966,43.9,51.6,97.7,125.7,235.7,215.0,175.1,180.7,161.5,89.9,36.5,23.4
1967,38.7,89.3,116.4,173.6,220.7,204.5,263.1,196.1,122.9,116.3,64.2,29.3
1968,41.1,62.4,131.8,219.5,179.0,222.4,222.8,168.4,120.8,89.4,42.2,43.3
1969,30.6,63.1,106.2,164.2,184.2,200.5,238.9,195.8,179.1,120.9,57.9,29.1
1970,35.6,42.4,97.3,97.5,183.1,276.3,201.7,203.0,174.4,81.9,53.1,34.3
1971,67.2,50.9,104.1,186.5,213.9,151.5,292.5,229.1,171.5,164.2,46.9,27.4
1972,49.5,55.5,160.9,118.1,147.2,194.7,193.6,195.3,141.9,152.1,48.4,75.7
1973,33.0,56.6,130.4,129.0,212.2,241.6,198.3,257.2,163.1,108.2,71.0,42.1
1974,34.2,59.5,116.4,211.0,181.7,198.0,175.6,208.6,154.7,42.9,38.6,31.1
1975,49.5,122.6,101.2,134.6,203.5,204.2,246.2,257.6,164.5,87.9,51.4,33.4
1976,37.7,74.3,149.3,206.1,233.2,286.5,255.0,236.6,110.4,84.7,37.4,42.9
1977,23.9,56.6,107.6,121.0,232.2,159.5,198.5,145.2,138.5,101.9,45.5,31.9
1978,36.9,55.3,91.0,171.2,175.9,197.2,184.9,183.2,103.7,87.1,59.4,36.8
1979,41.9,54.4,85.0,118.6,231.6,199.1,154.2,176.2,165.5,146.5,45.0,28.7
1980,44.0,76.7,91.3,142.6,251.2,171.6,135.7,187.5,166.1,88.5,51.6,37.1
1981,49.4,75.2,78.2,184.0,203.8,160.5,151.0,182.7,150.6,76.3,54.4,26.1
1982,57.7,96.7,133.3,197.7,225.1,204.1,250.7,194.8,189.7,76.2,62.5,30.1
1983,34.6,79.0,83.7,123.2,130.5,222.8,288.0,232.7,150.3,108.5,74.2,55.2
1984,36.6,74.1,141.4,184.0,128.7,159.6,180.7,204.8,91.0,102.0,63.6,34.5
1985,39.8,103.1,70.8,147.1,193.5,164.2,237.1,210.2,161.7,122.2,40.2,31.6
1986,33.0,93.7,87.4,108.0,206.6,243.2,211.3,191.8,144.8,117.2,77.8,40.5
1987,46.7,55.7,137.2,171.9,152.6,131.2,202.5,152.8,146.6,114.7,26.2,32.6
1988,39.8,57.4,66.4,195.6,237.8,148.9,200.9,213.9,120.9,86.6,58.8,24.0
1989,62.1,69.1,132.6,101.4,307.3,233.4,207.3,207.3,148.1,117.2,100.1,45.8
1990,41.6,99.3,135.7,172.7,290.7,147.1,247.0,235.4,111.1,140.5,37.4,33.0
1991,68.7,92.8,106.7,181.8,167.8,157.3,274.0,227.6,170.1,137.6,46.4,48.3
1992,49.0,57.3,94.4,143.1,277.0,224.2,225.6,213.3,166.3,83.3,44.0,45.8
1993,61.5,66.5,146.7,183.4,230.7,200.7,177.5,210.1,117.3,83.8,42.5,18.4
