year,01,02,03,04,05,06,07,08,09,10,11,12
1882,0.4,1.5,6.0,7.7,12.0,14.3,16.8,14.9,13.1,8.9,3.9,0.6
1883,-0.3,2.3,-1.7,6.1,12.4,16.2,16.7,15.9,13.4,8.5,4.3,0.8
1884,2.9,2.7,4.7,6.1,12.7,13.1,18.2,17.0,14.3,7.9,1.7,1.7
1885,-2.8,3.0,2.5,9.2,10.0,16.7,17.3,14.6,12.7,7.4,2.7,-0.3
1886,-1.3,-2.9,0.4,8.7,12.7,14.3,16.8,16.9,15.1,9.5,5.1,0.8
1887,-3.7,-0.8,1.1,7.1,10.0,15.5,18.7,15.7,12.2,5.5,3.1,-0.8
1888,-1.9,-2.6,0.7,5.7,12.1,15.8,14.7,15.1,12.5,6.4,3.3,0.6
1889,-2.4,-2.6,0.3,6.9,15.8,18.6,16.4,15.4,11.1,8.0,2.7,-1.6
1890,2.0,-2.6,4.1,6.8,13.6,13.9,15.4,16.5,13.1,7.2,2.9,-5.3
1891,-4.5,-0.6,2.6,5.1,12.7,14.7,16.2,15.0,13.8,9.9,2.7,1.7
1892,-1.8,0.5,0.5,7.0,12.2,15.1,16.0,18.1,13.8,7.5,3.0,-1.9
1893,-7.3,1.8,4.3,8.8,12.3,15.8,17.4,17.0,12.4,9.8,2.2,0.3
1894,-1.8,1.6,4.7,9.9,11.3,14.2,17.8,15.4,11.0,8.0,4.9,0.5
1895,-4.0,-6.8,1.4,8.6,12.2,15.7,17.2,16.5,15.2,7.1,4.8,-0.1
1896,-0.8,-0.2,5.3,5.9,10.7,16.7,17.0,14.3,12.8,8.6,1.2,-0.5
1897,-2.9,1.2,5.0,7.2,10.6,17.0,16.5,17.1,12.3,7.3,2.8,1.3
1898,2.3,1.1,2.9,7.3,11.3,14.8,14.4,18.0,13.6,8.9,4.7,3.0
1899,2.1,2.0,2.6,7.1,11.1,14.7,17.3,16.8,12.5,7.8,6.4,-3.3
1900,0.7,1.1,0.6,6.5,10.8,16.0,18.4,16.2,13.8,8.6,4.7,2.8
1901,-3.7,-4.1,2.1,8.0,12.8,15.6,18.5,16.4,13.4,9.1,2.7,0.9
1902,2.8,-1.3,3.4,7.8,8.6,15.3,15.8,14.7,12.0,7.1,1.6,-1.8
1903,0.3,3.6,5.7,4.7,12.6,14.8,16.2,15.4,13.5,9.6,4.4,-0.8
1904,-1.3,1.1,3.0,8.8,12.3,15.2,18.8,16.5,11.9,8.3,3.3,2.4
1905,-1.8,1.3,4.5,5.9,12.1,17.0,18.6,16.5,12.8,4.5,3.1,1.0
1906,1.0,0.3,2.2,8.0,13.1,14.7,17.2,16.5,12.5,9.8,6.3,-2.2
1907,-0.3,-1.5,2.6,6.1,12.9,14.6,14.5,15.7,13.1,11.2,3.3,1.5
1908,-2.2,1.2,2.3,5.4,13.2,17.0,17.2,14.5,12.1,8.1,1.5,-0.5
1909,-1.6,-2.5,1.5,7.8,10.9,14.1,15.0,16.2,12.7,10.2,2.0,1.9
1910,1.4,2.4,3.7,7.3,12.3,16.5,15.5,15.8,12.0,9.1,2.2,2.6
1911,-1.1,1.3,4.0,7.2,13.1,14.9,19.2,19.4,14.4,8.5,4.7,3.0
1912,-1.5,2.3,6.0,6.9,11.9,15.6,17.9,14.0,9.1,6.5,2.6,3.1
1913,-0.2,1.3,6.0,7.8,12.4,14.8,14.6,14.8,12.6,9.5,6.8,2.0
1914,-3.0,3.1,4.7,9.8,10.9,14.6,17.6,17.2,12.4,8.2,3.4,3.5
1915,0.2,1.0,1.7,6.9,13.1,17.5,16.2,15.2,11.8,6.4,1.5,3.5
1916,3.8,0.8,3.9,8.2,13.1,12.8,16.0,15.9,12.0,8.5,4.5,1.8
1917,-2.6,-3.8,0.0,4.3,15.0,18.8,17.3,16.7,14.5,7.2,5.1,-2.1
1918,0.7,1.7,4.0,9.0,14.0,13.0,16.5,15.9,12.9,7.9,3.0,3.9
1919,0.7,-0.5,3.0,5.6,11.6,15.0,14.4,16.1,14.7,6.0,0.5,0.8
1920,2.3,3.0,6.1,9.4,13.8,14.9,17.4,15.0,13.0,6.9,1.2,0.6
1921,4.2,1.3,5.6,7.8,14.0,14.4,18.7,17.3,13.5,11.0,-0.2,0.5
1922,-2.7,-1.3,3.5,5.5,13.6,15.7,15.7,15.4,11.2,5.0,2.5,2.2
1923,1.5,1.0,4.9,6.8,11.4,11.2,18.6,15.7,13.1,10.3,2.9,-1.7
1924,-2.9,-2.6,2.2,6.3,13.7,15.1,16.7,14.5,13.6,9.4,3.0,1.5
1925,2.5,3.6,1.3,8.2,13.9,15.0,17.9,16.5,11.0,8.5,2.0,-0.4
1926,0.0,4.4,4.0,9.7,10.7,13.8,17.4,16.0,14.6,7.8,6.0,0.6
1927,1.8,0.9,5.9,7.1,10.9,14.1,17.3,16.4,13.5,8.6,2.7,-2.6
1928,1.6,2.5,2.9,7.5,10.1,14.1,18.4,16.2,12.5,8.6,6.2,-0.3
1929,-4.7,-9.6,2.6,4.5,13.1,14.5,17.5,17.1,15.5,9.7,4.7,3.6
1930,2.3,-0.2,4.2,8.3,11.6,18.2,16.4,16.0,13.2,8.7,5.9,0.6
1931,0.2,-1.2,0.2,5.8,15.1,16.1,16.8,15.4,10.2,7.3,4.7,0.1
1932,1.8,-1.9,0.8,7.0,12.5,14.6,17.9,18.7,15.0,8.5,4.2,0.8
1933,-2.6,0.1,5.1,7.0,11.5,14.3,18.1,16.9,13.5,8.8,2.5,-3.9
1934,0.5,1.2,4.1,10.3,13.3,16.4,18.3,16.4,15.6,9.6,4.1,4.8
1935,-0.8,1.9,2.7,7.3,10.5,17.2,17.8,16.6,13.7,8.6,5.2,0.4
1936,3.1,0.2,5.0,6.2,12.3,16.2,16.8,16.2,13.0,6.4,3.8,1.5
1937,-0.8,2.2,2.9,8.0,14.7,16.3,17.2,17.1,13.3,9.5,3.3,-0.5
1938,1.7,0.9,7.0,5.0,10.7,16.0,16.7,17.7,13.8,8.7,7.0,-1.9
1939,2.6,1.6,1.7,8.6,10.5,16.3,17.0,17.5,13.4,6.5,5.5,-1.6
1940,-9.0,-4.3,2.8,7.9,12.2,16.7,16.2,14.5,12.4,7.6,5.4,-2.8
1941,-5.4,-0.2,3.3,5.5,9.2,16.3,18.6,15.0,12.3,8.0,2.0,1.5
1942,-7.9,-5.4,1.4,7.5,12.1,14.4,16.1,17.6,15.1,11.1,3.3,2.1
1943,-0.4,2.9,5.6,9.3,12.8,14.4,17.7,17.9,13.8,9.9,2.7,0.2
1944,3.1,-1.1,0.9,8.6,11.6,14.2,17.4,19.6,12.8,8.6,4.1,-0.4
1945,-4.0,4.0,6.0,8.8,14.0,16.6,17.9,16.2,13.8,9.7,3.6,1.3
1946,-1.8,2.4,3.7,10.2,13.9,14.8,18.4,16.2,14.1,7.0,4.0,-2.3
1947,-4.7,-6.6,2.6,9.4,14.7,17.9,18.9,18.9,16.8,7.8,5.3,1.4
1948,3.1,0.5,5.7,10.0,13.6,15.6,16.2,16.4,13.8,8.7,4.2,0.9
1949,1.2,1.7,2.0,10.3,12.2,14.1,17.6,17.0,16.3,10.6,3.7,3.0
1950,-1.0,3.0,4.8,6.8,13.8,17.6,18.0,17.5,12.9,7.8,4.3,-2.0
1951,1.5,1.9,2.2,7.3,11.5,15.3,17.1,17.2,14.5,7.3,6.5,2.5
1952,0.2,-0.1,2.6,10.3,12.3,15.2,18.3,17.8,10.5,7.2,1.7,-0.5
1953,-0.8,-0.1,4.8,9.0,13.2,16.1,17.4,16.4,13.5,10.4,4.8,2.5
1954,-3.2,-3.5,4.3,5.8,12.2,16.0,14.4,15.8,13.5,9.9,4.1,3.2
1955,-1.7,-1.9,0.4,6.9,10.3,14.6,17.4,16.8,13.4,8.0,3.8,2.6
1956,0.2,-9.6,2.9,5.3,12.5,13.2,16.9,14.1,13.8,8.2,2.5,2.0
1957,0.3,3.8,6.4,7.5,9.7,16.7,17.7,15.1,11.8,9.2,4.5,0.5
1958,-0.4,1.9,-0.3,5.2,13.3,14.5,17.0,16.9,14.5,9.3,4.3,2.5
1959,-0.1,-0.1,6.2,9.4,12.7,16.1,19.3,17.3,13.5,8.5,3.3,2.2
1960,-0.1,0.4,4.3,7.4,12.8,16.2,15.4,15.8,12.5,9.1,6.0,1.2
1961,-0.8,4.4,6.0,10.6,10.3,16.0,15.1,15.7,16.3,10.5,3.7,-0.6
1962,1.7,0.3,0.2,8.2,9.8,14.2,15.0,15.8,12.3,9.0,2.7,-3.3
1963,-7.4,-5.7,2.5,8.4,12.0,15.8,17.7,15.9,13.7,8.1,7.4,-3.1
1964,-2.6,0.6,0.6,8.6,13.6,16.9,18.1,15.9,13.6,7.1,4.9,0.4
1965,1.2,-1.8,2.3,6.7,11.2,15.5,15.0,14.9,12.7,8.2,1.4,2.6
1966,-2.7,3.5,3.3,8.6,13.0,16.9,15.6,15.5,13.2,11.1,2.2,2.0
1967,0.7,2.8,5.4,6.5,12.5,14.7,18.6,16.4,13.8,11.1,3.9,0.4
1968,-1.1,0.7,4.4,9.0,10.9,16.0,16.2,16.4,13.4,10.2,3.7,-2.0
