year,temp,rain,sun
1881,7.3,693.5,
1882,8.3,926.7,
1883,7.9,687.2,
1884,8.6,732.2,
1885,7.7,718.4,
1886,8.0,722.6,
1887,7.0,601.7,
1888,6.9,766.2,
1889,7.4,751.3,
1890,7.3,744.5,
1891,7.4,760.4,
1892,7.5,647.2,
1893,7.9,675.8,
1894,8.1,795.2,
1895,7.3,765.2,
1896,7.6,779.1,
1897,7.9,763.3,
1898,8.5,748.6,
1899,8.1,733.2,
1900,8.4,769.5,
1901,7.6,756.5,
1902,7.2,726.6,
1903,8.4,754.9,
1904,8.4,638.8,
1905,8.0,811.4,
1906,8.3,786.9,
1907,7.8,688.6,
1908,7.5,668.7,
1909,7.4,773.5,
1910,8.4,837.1,
1911,9.0,556.7,
1912,7.9,841.3,
1913,8.5,745.5,
1914,8.5,823.2,
1915,7.9,782.5,
1916,8.4,832.2,
1917,7.5,697.9,
1918,8.5,747.2,
1919,7.3,730.2,
1920,8.6,677.4,
1921,9.0,578.4,
1922,7.2,894.0,
1923,8.0,789.7,
1924,7.5,788.7,
1925,8.3,788.0,
1926,8.7,885.0,
1927,8.0,868.3,
1928,8.3,753.9,
1929,7.4,591.3,
1930,8.8,845.4,
1931,7.6,841.4,
1932,8.3,735.6,
1933,7.6,656.2,
1934,9.5,615.3,
1935,8.4,811.2,
1936,8.4,825.8,
1937,8.6,789.7,
1938,8.6,741.2,
1939,8.3,916.3,
1940,6.6,847.4,
1941,7.2,866.1,
1942,7.3,667.7,
1943,8.9,620.1,
1944,8.3,852.4,
1945,9.0,772.5,
1946,8.4,766.6,
1947,8.5,688.8,
1948,9.0,756.4,
1949,9.1,656.4,
1950,8.6,829.4,
1951,8.7,750.8,1711.7
1952,7.9,831.0,1576.7
1953,8.9,591.8,1783.9
1954,7.7,877.1,1560.4
1955,7.5,783.6,1633.7
1956,6.8,844.1,1528.5
1957,8.6,783.6,1638.8
1958,8.2,876.1,1526.2
1959,9.0,551.1,1984.0
1960,8.4,849.0,1482.4
1961,8.9,862.1,1562.2
1962,7.1,701.2,1558.1
1963,7.1,658.7,1608.6
1964,8.1,631.1,1675.6
1965,7.5,989.4,1453.4
1966,8.5,965.1,1436.7
1967,8.9,836.8,1635.1
1968,8.1,842.3,1543.1
1969,7.8,724.6,1570.5
1970,7.7,913.5,1480.6
1971,8.4,601.3,1705.7
1972,7.8,660.0,1532.9
1973,8.2,702.2,1642.7
1974,8.8,885.4,1452.3
1975,8.9,659.5,1656.6
1976,8.5,592.0,1754.1
1977,8.7,825.5,1362.3
1978,7.8,802.3,1382.6
1979,7.7,827.7,1446.7
1980,7.6,839.9,1443.9
1981,8.2,995.3,1392.2
1982,8.9,705.7,1718.6
1983,9.0,785.2,1582.7
1984,8.0,825.7,1401.0
1985,7.4,733.6,1521.5
1986,7.9,865.4,1555.3
1987,7.4,884.7,1370.7
1988,9.1,871.7,1451.0
1989,9.5,688.4,1731.7
1990,9.5,791.6,1691.5
1991,8.3,644.5,1679.1
1992,9.4,796.0,1623.3
1993,8.5,885.7,1539.1
1994,9.7,890.6,1612.0
1995,8.9,877.5,1600.8
1996,7.2,682.9,1503.6
1997,8.9,714.1,1721.7
1998,9.1,919.7,1437.9
1999,9.5,838.0,1626.0
2000,9.9,838.0,1546.0
2001,9.0,928.8,1513.7
2002,9.6,1018.1,1533.2
2003,9.4,608.2,2013.7
2004,8.9,811.9,1589.4
2005,9.0,785.1,1742.5
2006,9.5,750.0,1770.8
2007,9.9,969.5,1691.5
2008,9.5,778.3,1634.9
2009,9.2,812.7,1685.8
2010,7.8,868.5,1538.2
2011,9.6,732.9,1847.4
2012,9.1,767.5,1673.5
2013,8.7,778.7,1507.6
2014,10.3,727.1,1620.9
2015,9.9,701.3,1742.6
2016,9.5,733.1,1607.4
2017,9.6,858.7,1596.1
2018,10.5,586.3,2015.4
2019,10.3,735.0,1834.2
2020,10.4,704.9,1896.0
2021,9.2,801.1,1631.2
2022,10.5,669.1,2024.1
2023,10.6,958.0,1753.1
